Id,Description__c,Display_Order__c,LastActivityDate,Name,OwnerId
a02Ws0000052lXpIAI,,,,Appetizers,005Ws000003miUrIAI
a02Ws0000052lXqIAI,,,,Entrees,005Ws000003miUrIAI
a02Ws0000052lXrIAI,,,,Desserts,005Ws000003miUrIAI
a02Ws0000052m5hIAA,,,,Appetizers,005Ws000003miUrIAI
a02Ws0000052m5iIAA,,,,Entrees,005Ws000003miUrIAI
a02Ws0000052m5jIAA,,,,Desserts,005Ws000003miUrIAI
a02Ws0000052m5kIAA,,,,Appetizers,005Ws000003miUrIAI
a02Ws0000052m5lIAA,,,,Entrees,005Ws000003miUrIAI
a02Ws0000052m5mIAA,,,,Desserts,005Ws000003miUrIAI
a02Ws0000052m5nIAA,,,,Appetizers,005Ws000003miUrIAI
a02Ws0000052m5oIAA,,,,Entrees,005Ws000003miUrIAI
a02Ws0000052m5pIAA,,,,Desserts,005Ws000003miUrIAI
a02Ws0000052oCLIAY,,,,Fusion Appetizers,005Ws000003miUrIAI
a02Ws0000052oCMIAY,,,,Global Entrees,005Ws000003miUrIAI
a02Ws0000052oCNIAY,,,,Sandwiches,005Ws000003miUrIAI
a02Ws0000052oCOIAY,,,,Soups,005Ws000003miUrIAI
a02Ws0000052oCPIAY,,,,Fine Dining Starters,005Ws000003miUrIAI
a02Ws0000052oCQIAY,,,,Mains,005Ws000003miUrIAI
a02Ws0000052oCRIAY,,,,Steaks,005Ws000003miUrIAI
a02Ws0000052oCSIAY,,,,Seafood,005Ws000003miUrIAI
a02Ws0000052oCTIAY,,,,Comfort Classics,005Ws000003miUrIAI
a02Ws0000052oCUIAY,,,,Entrees,005Ws000003miUrIAI
a02Ws0000052oM1IAI,,,,Starters,005Ws000003miUrIAI
a02Ws0000052oM2IAI,,,,Mains,005Ws000003miUrIAI
a02Ws0000052oM3IAI,,,,Desserts,005Ws000003miUrIAI
a02Ws0000052oM4IAI,,,,Quick Bites,005Ws000003miUrIAI
a02Ws0000052oM5IAI,,,,Mains,005Ws000003miUrIAI
a02Ws0000052oM6IAI,,,,Desserts,005Ws000003miUrIAI
a02Ws0000052oM7IAI,,,,Breakfast,005Ws000003miUrIAI
a02Ws0000052oM8IAI,,,,Sandwiches,005Ws000003miUrIAI
a02Ws0000052oM9IAI,,,,Desserts,005Ws000003miUrIAI
a02Ws0000052oMAIAY,,,,Appetizers,005Ws000003miUrIAI
a02Ws0000052oMBIAY,,,,Entrees,005Ws000003miUrIAI
a02Ws0000052oMCIAY,,,,Desserts,005Ws000003miUrIAI
a02Ws0000052p6nIAA,,,,Quick Bites,005Ws000003miUrIAI
a02Ws0000052p6oIAA,,,,Entrees,005Ws000003miUrIAI
a02Ws0000052p6pIAA,,,,Desserts,005Ws000003miUrIAI
a02Ws0000052p6qIAA,,,,Quick Bites,005Ws000003miUrIAI
a02Ws0000052p6rIAA,,,,Entrees,005Ws000003miUrIAI
a02Ws0000052p6sIAA,,,,Desserts,005Ws000003miUrIAI
a02Ws0000052p6tIAA,,,,Starters,005Ws000003miUrIAI
a02Ws0000052p6uIAA,,,,Entrees,005Ws000003miUrIAI
a02Ws0000052p6vIAA,,,,Desserts,005Ws000003miUrIAI
a02Ws0000052p6wIAA,,,,Starters,005Ws000003miUrIAI
a02Ws0000052p6xIAA,,,,Entrees,005Ws000003miUrIAI
a02Ws0000052p6yIAA,,,,Desserts,005Ws000003miUrIAI
a02Ws0000052uMbIAI,,,,Comfort Starters,005Ws000003miUrIAI
a02Ws0000052uMcIAI,,,,Entrees,005Ws000003miUrIAI
a02Ws0000052uMdIAI,,,,Desserts,005Ws000003miUrIAI
a02Ws0000052uMeIAI,,,,Comfort Starters,005Ws000003miUrIAI
a02Ws0000052uMfIAI,,,,Entrees,005Ws000003miUrIAI
a02Ws0000052uMgIAI,,,,Desserts,005Ws000003miUrIAI
a02Ws0000052uMhIAI,,,,Fusion Appetizers,005Ws000003miUrIAI
a02Ws0000052uMiIAI,,,,Entrees,005Ws000003miUrIAI
a02Ws0000052uMjIAI,,,,Desserts,005Ws000003miUrIAI
a02Ws0000052uMkIAI,,,,Fusion Appetizers,005Ws000003miUrIAI
a02Ws0000052uMlIAI,,,,Entrees,005Ws000003miUrIAI
a02Ws0000052uMmIAI,,,,Desserts,005Ws000003miUrIAI
a02Ws00000530iBIAQ,,,,Starters,005Ws000003miUrIAI
a02Ws00000530iCIAQ,,,,Salads,005Ws000003miUrIAI
a02Ws00000530iDIAQ,,,,Sandwiches,005Ws000003miUrIAI
a02Ws00000530iEIAQ,,,,Desserts,005Ws000003miUrIAI
a02Ws00000530iFIAQ,,,,Starters,005Ws000003miUrIAI
a02Ws00000530iGIAQ,,,,Salads,005Ws000003miUrIAI
a02Ws00000530iHIAQ,,,,Sandwiches,005Ws000003miUrIAI
a02Ws00000530iIIAQ,,,,Desserts,005Ws000003miUrIAI
